,,# of traces,,,,,,,,
# of bits,noise,4096,8192,16384,32768,65536,131072,262144,524288,1048576
"32
(SHA256)",0.00,0.00,0.10,6.15,40.04,66.41,87.50,91.99,96.39,98.34
,4.00,,0.00,0.00,4.88,33.69,63.28,82.62,91.11,96.88
,8.00,,,0.00,0.00,0.59,21.09,53.22,76.37,89.06
,16.00,,,,,0.00,0.10,2.34,28.81,61.13
,32.00,,,,,,,0.00,0.00,2.54
,64.00,,,,,,,,,0.00
"64
(SHA512)",0.00,,,0.00,0.00,8.89,39.65,66.02,81.93,90.43
,4.00,,,0.00,0.00,1.17,19.92,47.85,71.88,85.35
,8.00,,,,0.00,0.00,0.68,15.63,46.39,70.80
,16.00,,,,,,0.00,0.10,4.69,29.88
,32.00,,,,,,,,0.00,0.00
