,,# of traces,,,,,,,,
# of bits,noise,4096,8192,16384,32768,65536,131072,262144,524288,1048576
"32
(SHA256)",0,3.58,7.76,23.74,51.11,77.82,91.47,96.17,98.88,99.48
,4,,3.44,7.36,20.27,48.43,72.99,87.53,93.72,97.77
,8,,,2.73,5.60,12.45,37.20,65.24,83.03,92.19
,16,,,,,3.06,6.59,16.34,45.01,70.92
,32,,,,,,,3.33,6.87,16.64
,64,,,,,,,,,3.28
"64
(SHA512)",0,,,3.59,9.03,24.68,53.77,74.43,86.53,93.01
,4,,,2.34,5.20,13.77,35.29,59.92,78.95,89.26
,8,,,,2.33,4.83,13.04,32.83,59.34,78.41
,16,,,,,,3.09,6.98,19.79,45.35
,32,,,,,,,,3.17,7.64
